rtp,variance,hit_frequency,bonus_frequency,expected_payout_per_base_spin,total_base_spins,total_steps,total_payout,total_bet_cost,winning_steps,bonus_entries,duration_sec,gpu_used,variance_reduction,final_balance,batch_number,config_file
0.0,0.0,0.0,0.051,0.0,2000,3020,0.0,2000.0,0,102,0.28980374336242676,False,,-2000.0,1,sample_slot_game.json
0.0,0.0,0.0,0.0535,0.0,2000,3070,0.0,2000.0,0,107,0.2925901412963867,False,,-2000.0,2,sample_slot_game.json
0.0,0.0,0.0,0.054,0.0,2000,3080,0.0,2000.0,0,108,0.3498873710632324,False,,-2000.0,3,sample_slot_game.json
0.0,0.0,0.0,0.0555,0.0,2000,3110,0.0,2000.0,0,111,0.26424646377563477,False,,-2000.0,4,sample_slot_game.json
0.0,0.0,0.0,0.056,0.0,2000,3110,0.0,2000.0,0,112,0.2636301517486572,False,,-2000.0,5,sample_slot_game.json
0.0,0.0,0.0,0.049,0.0,2000,2980,0.0,2000.0,0,98,0.33454060554504395,False,,-2000.0,6,sample_slot_game.json
0.0,0.0,0.0,0.057,0.0,2000,3140,0.0,2000.0,0,114,0.28086328506469727,False,,-2000.0,7,sample_slot_game.json
0.0,0.0,0.0,0.053,0.0,2000,3060,0.0,2000.0,0,106,0.30041980743408203,False,,-2000.0,8,sample_slot_game.json
0.0,0.0,0.0,0.046,0.0,2000,2920,0.0,2000.0,0,92,0.24932384490966797,False,,-2000.0,9,sample_slot_game.json
0.0,0.0,0.0,0.047,0.0,2000,2940,0.0,2000.0,0,94,0.2344973087310791,False,,-2000.0,10,sample_slot_game.json
0.0,0.0,0.0,0.0555,0.0,2000,3110,0.0,2000.0,0,111,0.29640674591064453,False,,-2000.0,11,sample_slot_game.json
0.0,0.0,0.0,0.051,0.0,2000,3020,0.0,2000.0,0,102,0.35216331481933594,False,,-2000.0,12,sample_slot_game.json
0.0,0.0,0.0,0.053,0.0,2000,3060,0.0,2000.0,0,106,0.29192543029785156,False,,-2000.0,13,sample_slot_game.json
0.0,0.0,0.0,0.054,0.0,2000,3080,0.0,2000.0,0,108,0.37511754035949707,False,,-2000.0,14,sample_slot_game.json
0.0,0.0,0.0,0.048,0.0,2000,2960,0.0,2000.0,0,96,0.25994086265563965,False,,-2000.0,15,sample_slot_game.json
0.0,0.0,0.0,0.055,0.0,2000,3100,0.0,2000.0,0,110,0.269756555557251,False,,-2000.0,16,sample_slot_game.json
0.0,0.0,0.0,0.051,0.0,2000,3010,0.0,2000.0,0,102,0.2853236198425293,False,,-2000.0,17,sample_slot_game.json
0.0,0.0,0.0,0.052,0.0,2000,3040,0.0,2000.0,0,104,0.26928234100341797,False,,-2000.0,18,sample_slot_game.json
0.0,0.0,0.0,0.047,0.0,2000,2940,0.0,2000.0,0,94,0.2820858955383301,False,,-2000.0,19,sample_slot_game.json
0.0,0.0,0.0,0.053,0.0,2000,3060,0.0,2000.0,0,106,0.33958911895751953,False,,-2000.0,20,sample_slot_game.json
